research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Elias Cisneros,methods,75,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Elias Cisneros,logic_comms,80,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Elias Cisneros,real_world,95,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Elias Cisneros,gp_relevance,95,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Elias Cisneros,journal_predict,4,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Elias Cisneros,open_sci,90,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Elias Cisneros,merits_journal,4,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Elias Cisneros,overall,88,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,adv_knowledge,90,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,methods,80,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,logic_comms,80,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,real_world,,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,gp_relevance,95,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,journal_predict,4,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,open_sci,90,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,merits_journal,4,,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,overall,80,,,
Artificial Intelligence and Economic Growth,Seth Benzell,adv_knowledge,75,65,85,
Artificial Intelligence and Economic Growth,Seth Benzell,methods,80,75,85,
Artificial Intelligence and Economic Growth,Seth Benzell,logic_comms,70,60,80,
Artificial Intelligence and Economic Growth,Seth Benzell,real_world,,,,
Artificial Intelligence and Economic Growth,Seth Benzell,gp_relevance,90,85,100,
Artificial Intelligence and Economic Growth,Seth Benzell,journal_predict,,,,
Artificial Intelligence and Economic Growth,Seth Benzell,open_sci,95,90,100,
Artificial Intelligence and Economic Growth,Seth Benzell,merits_journal,4,3.5,5,
Artificial Intelligence and Economic Growth,Seth Benzell,overall,80,70,90,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,adv_knowledge,55,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,methods,55,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,logic_comms,70,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,real_world,55,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,gp_relevance,70,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,journal_predict,3,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,open_sci,45,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,merits_journal,3,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anonymous_14,overall,62,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,adv_knowledge,70,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,methods,,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,logic_comms,80,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,real_world,,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,gp_relevance,80,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,journal_predict,3.5,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,open_sci,,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,merits_journal,3.5,,,
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,Scott Janzwood,overall,65,,,
Artificial Intelligence and Economic Growth,Phil Trammel,adv_knowledge,97,80,100,
Artificial Intelligence and Economic Growth,Phil Trammel,methods,70,40,90,
Artificial Intelligence and Economic Growth,Phil Trammel,logic_comms,45,30,70,
Artificial Intelligence and Economic Growth,Phil Trammel,real_world,,,,
Artificial Intelligence and Economic Growth,Phil Trammel,gp_relevance,92,80,100,
Artificial Intelligence and Economic Growth,Phil Trammel,journal_predict,3.5,,,
Artificial Intelligence and Economic Growth,Phil Trammel,open_sci,80,,,
Artificial Intelligence and Economic Growth,Phil Trammel,merits_journal,5,,,
Artificial Intelligence and Economic Growth,Phil Trammel,overall,92,80,100,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress (previous title: Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana),Anon. Evaluator 2,adv_knowledge,60,55,65,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress (previous title: Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana),Anon. Evaluator 2,methods,90,82,94,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress (previous title: Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana),Anon. Evaluator 2,logic_comms,70,62,82,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress (previous title: Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana),Anon. Evaluator 2,real_world,50,48,52,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress (previous title: Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana),Anon. Evaluator 2,gp_relevance,50,40,60,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress (previous title: Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana),Anon. Evaluator 2,journal_predict,4,,,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress (previous title: Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana),Anon. Evaluator 2,open_sci,90,80,95,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,adv_knowledge,90,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,methods,80,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,logic_comms,85,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,real_world,100,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,gp_relevance,100,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,journal_predict,4,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,open_sci,80,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,merits_journal,5,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia (previous title: Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia),Anirugh Tagat,overall,85,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,adv_knowledge,70,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,methods,70,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,logic_comms,75,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,real_world,60,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,gp_relevance,80,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,journal_predict,4,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,open_sci,65,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,merits_journal,4,,,
"The Environmental Effects of Economic Production: Evidence from Ecological Observations
(previous title: Economic Production and Biodiversity in the United States)",Anonymous_19,overall,70,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,adv_knowledge,90,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,methods,90,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,logic_comms,80,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,real_world,100,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,gp_relevance,100,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,journal_predict,4,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,open_sci,70,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,merits_journal,5,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,overall,90,,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,adv_knowledge,70,60,90,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,methods,90,85,95,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,logic_comms,75,70,90,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,real_world,75,60,90,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,gp_relevance,90,80,100,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,journal_predict,3,2,4,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,open_sci,50,40,80,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,merits_journal,4,3,4,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Anonymous_21,overall,75,65,85,
